          Vxlan Mac Address Table
----------------------------------------------------------------------

VLAN  Mac Address     Type     Prt  VTEP             Moves   Last Move
  50  0050.5693.f7cb  RECEIVED  Vx1  10.11.14.23      10      575 days, 10:29:02 ago
  50  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  50  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  50  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  50  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  50  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  53  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  53  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  53  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  53  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  53  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      1       120 days, 13:03:08 ago
  53  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  60  0015.5d52.644b  RECEIVED  Vx1  10.11.14.23      2       21 days, 8:50:37 ago
  60  001e.d8b7.1d0c  RECEIVED  Vx1  10.11.14.23      20      575 days, 10:29:02 ago
  60  001e.d8b7.1d0d  RECEIVED  Vx1  10.11.14.23      5       382 days, 0:57:40 ago
  60  001e.d8b7.1d11  RECEIVED  Vx1  10.11.14.23      29      575 days, 10:29:02 ago
  60  001e.d8b7.1ec7  RECEIVED  Vx1  10.11.14.23      1       7 days, 10:48:45 ago
  60  001e.d8b7.1f09  RECEIVED  Vx1  10.11.14.23      9       550 days, 0:10:01 ago
  60  001e.d8b7.23e1  RECEIVED  Vx1  10.11.14.23      2       13 days, 9:11:57 ago
  60  001e.d8b7.23ff  RECEIVED  Vx1  10.11.14.23      2       21 days, 8:50:52 ago
  60  0050.56a1.63f1  RECEIVED  Vx1  10.11.14.23      1       123 days, 8:49:11 ago
  60  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  60  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  60  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  60  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  60  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  61  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       241 days, 3:09:07 ago
  61  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       241 days, 3:09:07 ago
  61  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       241 days, 3:09:07 ago
  61  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       241 days, 3:09:07 ago
  61  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      5       241 days, 3:09:07 ago
  61  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  62  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       241 days, 3:09:06 ago
  62  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       241 days, 3:09:06 ago
  62  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       241 days, 3:09:06 ago
  62  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       241 days, 3:09:06 ago
  62  b40c.25e2.8010  RECEIVED  Vx1  10.11.14.21      5       241 days, 3:09:06 ago
  62  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  80  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  80  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  80  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  80  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  80  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  82  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  82  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  82  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  82  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  82  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  85  001e.d8b7.205e  RECEIVED  Vx1  10.11.14.23      5       79 days, 19:42:42 ago
  85  0050.56a1.15a9  RECEIVED  Vx1  10.11.14.23      4       131 days, 5:17:11 ago
  85  0050.56a1.7951  RECEIVED  Vx1  10.11.14.23      1       32 days, 17:07:45 ago
  85  0050.56a1.cb28  RECEIVED  Vx1  10.11.14.23      6       131 days, 5:09:09 ago
  85  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  85  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  85  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  85  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  85  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  90  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  90  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  90  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  90  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  90  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  96  0050.56a1.3246  RECEIVED  Vx1  10.11.14.23      1       102 days, 3:14:58 ago
  96  0050.56a1.ebbd  RECEIVED  Vx1  10.11.14.23      5       575 days, 10:29:02 ago
  96  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  96  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  96  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:58:09 ago
  96  7483.ef00.4bdf  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  96  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:38:08 ago
  99  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:42:32 ago
  99  7483.ef00.4b01  RECEIVED  Vx1  10.11.14.21      1       575 days, 10:29:02 ago
  99  9440.c96e.81f0  RECEIVED  Vx1  10.11.14.23      1       468 days, 7:06:14 ago
  99  9440.c96e.81f1  RECEIVED  Vx1  10.11.14.23      1       468 days, 7:06:13 ago
  99  9440.c96e.c1a0  RECEIVED  Vx1  10.11.14.23      1       468 days, 9:20:53 ago
  99  9440.c96e.c1a1  RECEIVED  Vx1  10.11.14.23      1       468 days, 9:20:52 ago
