Vxlan Mac Address Table
----------------------------------------------------------------------

VLAN  Mac Address     Type     Prt  VTEP             Moves   Last Move
  10  0050.56a1.917d  RECEIVED  Vx1  10.11.14.23      7       336 days, 15:08:46 ago
  10  0050.56a1.9409  RECEIVED  Vx1  10.11.14.22      17      575 days, 11:03:48 ago
  10  0050.56a1.9716  RECEIVED  Vx1  10.11.14.23      21      529 days, 18:59:40 ago
  10  0050.56a1.9be8  RECEIVED  Vx1  10.11.14.23      10      421 days, 1:09:35 ago
  10  0050.56a1.a116  RECEIVED  Vx1  10.11.14.22      16      423 days, 11:02:45 ago
  10  0050.56a1.a3e8  RECEIVED  Vx1  10.11.14.23      6       336 days, 15:08:46 ago
  10  0050.56a1.a496  RECEIVED  Vx1  10.11.14.23      20      575 days, 11:03:48 ago
  10  0050.56a1.a941  RECEIVED  Vx1  10.11.14.22      308     575 days, 11:03:48 ago
  10  0050.56a1.ad59  RECEIVED  Vx1  10.11.14.23      6       336 days, 15:08:55 ago
  10  0050.56a1.adf9  RECEIVED  Vx1  10.11.14.23      1       34 days, 14:38:12 ago
  10  0050.56a1.af44  RECEIVED  Vx1  10.11.14.22      1106    575 days, 11:03:48 ago
  10  0050.56a1.b473  RECEIVED  Vx1  10.11.14.22      1236    575 days, 11:03:48 ago
  10  0050.56a1.b60d  RECEIVED  Vx1  10.11.14.22      19      575 days, 11:03:48 ago
  10  0050.56a1.b627  RECEIVED  Vx1  10.11.14.22      439     434 days, 17:09:46 ago
  10  0050.56a1.b9ec  RECEIVED  Vx1  10.11.14.22      17      575 days, 11:03:48 ago
  10  0050.56a1.bcaa  RECEIVED  Vx1  10.11.14.23      31      575 days, 11:03:48 ago
  10  0050.56a1.be46  RECEIVED  Vx1  10.11.14.23      23      575 days, 11:03:48 ago
  10  0050.56a1.c009  RECEIVED  Vx1  10.11.14.23      128     357 days, 10:04:57 ago
  10  0050.56a1.c24c  RECEIVED  Vx1  10.11.14.22      17      343 days, 5:45:10 ago
  10  0050.56a1.c2b5  RECEIVED  Vx1  10.11.14.23      8       131 days, 5:21:00 ago
  10  0050.56a1.cade  RECEIVED  Vx1  10.11.14.22      17      575 days, 11:03:48 ago
  10  0050.56a1.cba4  RECEIVED  Vx1  10.11.14.23      672     356 days, 9:50:31 ago
  10  0050.56a1.ccc1  RECEIVED  Vx1  10.11.14.22      7       143 days, 7:58:43 ago
  10  0050.56a1.cdf8  RECEIVED  Vx1  10.11.14.23      4       336 days, 15:08:53 ago
  10  0050.56a1.d145  RECEIVED  Vx1  10.11.14.23      10      414 days, 0:20:45 ago
  10  0050.56a1.d155  RECEIVED  Vx1  10.11.14.23      9       131 days, 5:05:50 ago
  10  0050.56a1.d316  RECEIVED  Vx1  10.11.14.22      5       143 days, 7:44:34 ago
  10  0050.56a1.d3a1  RECEIVED  Vx1  10.11.14.22      20      575 days, 11:03:48 ago
  10  0050.56a1.d5be  RECEIVED  Vx1  10.11.14.23      18      575 days, 11:03:48 ago
  10  0050.56a1.d8c2  RECEIVED  Vx1  10.11.14.23      5       34 days, 13:42:27 ago
  10  0050.56a1.dcc6  RECEIVED  Vx1  10.11.14.22      12      349 days, 2:09:32 ago
  10  0050.56a1.df57  RECEIVED  Vx1  10.11.14.23      7       336 days, 15:08:45 ago
  10  0050.56a1.e030  RECEIVED  Vx1  10.11.14.22      339     434 days, 17:47:39 ago
  10  0050.56a1.e14c  RECEIVED  Vx1  10.11.14.22      5       143 days, 7:43:25 ago
  10  0050.56a1.e25c  RECEIVED  Vx1  10.11.14.22      5       145 days, 8:59:46 ago
  10  0050.56a1.e3af  RECEIVED  Vx1  10.11.14.23      15      575 days, 11:03:49 ago
  10  0050.56a1.e478  RECEIVED  Vx1  10.11.14.22      6       145 days, 7:40:22 ago
  10  0050.56a1.e5f1  RECEIVED  Vx1  10.11.14.22      18      575 days, 11:03:49 ago
  10  0050.56a1.e77e  RECEIVED  Vx1  10.11.14.22      210     575 days, 11:03:49 ago
  10  0050.56a1.e78e  RECEIVED  Vx1  10.11.14.22      22      575 days, 11:03:49 ago
  10  0050.56a1.ea6a  RECEIVED  Vx1  10.11.14.22      1004    575 days, 11:03:49 ago
