Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False, C - ControlPlane MAC
   VLAN     MAC Address      Type      age     Secure NTFY Ports
* 3129     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3130     0000.0c9f.fc3a   dynamic  0         F      F    Po2
* 3130     001b.1700.0131   dynamic  0         F      F    Po2
* 3130     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3133     0000.0c9f.fc3d   dynamic  0         F      F    Po2
* 3133     001b.1700.0131   dynamic  0         F      F    Po2
* 3133     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3134     0000.0c9f.fc3e   dynamic  0         F      F    Po2
* 3134     001b.1700.0131   dynamic  0         F      F    Po2
* 3134     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3138     0000.0c9f.fc42   dynamic  0         F      F    Po2
* 3138     001b.1700.0131   dynamic  0         F      F    Po2
* 3138     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3143     0000.0c9f.fc47   dynamic  0         F      F    Po2
* 3143     001b.1700.0131   dynamic  0         F      F    Po2
* 3143     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3144     0000.0c9f.fc48   dynamic  0         F      F    Po2
* 3144     001b.1700.0131   dynamic  0         F      F    Po2
* 3144     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3145     0000.0c9f.fc49   dynamic  0         F      F    Po2
* 3145     001b.1700.0131   dynamic  0         F      F    Po2
* 3145     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3156     0000.0c9f.fc54   dynamic  0         F      F    Po2
* 3156     001b.1700.0131   dynamic  0         F      F    Po2
* 3156     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3157     0000.0c9f.fc55   dynamic  0         F      F    Po2
* 3157     001b.1700.0131   dynamic  0         F      F    Po2
* 3157     7c0e.cef3.e942   dynamic  0         F      F    Po2
